店名,wifi 穩定,通常有空位,安靜程度,咖啡好喝,價格便宜,裝潢/音樂佳,營業時間,捷運站,地址,有無限時,插座多,可站立工作,推薦人,備註,網站
Cuiqu Coffee(奎克咖啡),5.0 ★,3.0 ★,4.0 ★,5.0 ★,3.0 ★,5.0 ★,08:00-22:00,凹子底,高雄市鼓山區博愛二路236號,NO,多,NO,Jino,,https://www.facebook.com/cuiqucoffee/
威爾希斯,,,,,,,,西子灣,高雄市鼓山區蓮海路70號,,,,YanAnn,為中山校園內之咖啡店，露天。但我覺得不好喝...踩過幾次ESP的雷。,
卡啡那 CAFFAINA 美術館店,5.0 ★,1.0 ★,2.0 ★,5.0 ★,4.0 ★,5.0 ★,09:00-24:00,NO,高雄市鼓山區美術東二路3號,NO,多,,Jino,,http://www.caffaina.com/
BuCafe 不咖啡,5.0 ★,5.0 ★,5.0 ★,5.0 ★,4.0 ★,4.0 ★,13:00-23:00,,高雄市鼓山區美術南二路2號,NO,尚可,NO,PedroChien,店休日請參考粉絲團。,https://www.facebook.com/bubucafe/about/
Buff Cafe,4.0 ★,4.5 ★,5.0 ★,5.0 ★,4.5 ★,4.5 ★,12:30-22:30,巨蛋（稍遠）,高雄市鼓山區慶豐街8號,NO,,NO,Claudius,手沖佳，咖啡新概念多,https://www.facebook.com/pg/BuffCafe/about/?tab=page_info
亨利咖啡(西子灣),5.0 ★,5.0 ★,5.0 ★,3.0 ★,4.0 ★,5.0 ★,,西子灣,高雄市鼓山區哨船街75-18號,,尚可,NO,YanAnn,近中山大，營業時間難抓，裝潢很狂。,https://www.facebook.com/henryscoffeetw/?fref=ts
羅斯朵。晴天現烘咖啡,3.0 ★,4.0 ★,3.0 ★,5.0 ★,5.0 ★,3.0 ★,07:30 - 22:30,文化中心,高雄市苓雅區廣州一街143-5號(文化中心西側門),NO,尚可,YES,Vicky,價格便宜口味也不錯，二樓可看到文化中心綠地,https://www.facebook.com/sunnyday.cafe.roaster/
廿十二味,4.0 ★,4.0 ★,5.0 ★,4.5 ★,4.0 ★,4.5 ★,12:00-24:00,中央公園/輕軌C10站（未通車）,高雄市苓雅區海邊路64巷1號,,,NO,Claudius,甜點好吃，啤酒種類多但燈光偏暗,https://www.facebook.com/TwentyTwelveTaste/
咖啡鳥咖啡館,5.0 ★,5.0 ★,5.0 ★,4.0 ★,4.0 ★,5.0 ★,"平日 09:00 - 17:00
例假日 08:30~17:30",NO,高雄市苓雅區青年一路24號,NO,多,NO,Elisa,,https://www.facebook.com/caffe.bird.coffee/
Sunnyday Cafe Roaster(羅斯朵.晴天現烘咖啡新光店),5.0 ★,4.0 ★,4.0 ★,5.0 ★,5.0 ★,5.0 ★,08:00-19:00,,高雄市苓雅區新光路54號,NO,多,NO,Steven,,https://www.facebook.com/sunnyday.cafe.roaster2/
高雄 TaMa 咖啡館,5.0 ★,4.0 ★,5.0 ★,5.0 ★,4.0 ★,5.0 ★,"10:00-12:00, 週二公休",三多商圈,高雄市苓雅區永康街73號,NO,有,有,Sam Lai,空間很舒適，平常很安靜,https://www.facebook.com/TaMa.Cafe/?fref=ts
多那之(中正),,1.0 ★,1.0 ★,3.0 ★,,2.0 ★,00:00~24:00,五塊厝,高雄市苓雅區中正一路288號,NO,無,NO,YanAnn,2F提供沙發座位。連鎖的咖啡店多那茲，喝起來大概跟85c差不多。,
Artisan Cafe,4.0 ★,4.5 ★,5.0 ★,5.0 ★,4.0 ★,5.0 ★,12:00-20:00,中央公園,高雄市前金區仁義街223號,NO,少,NO,Claudius,手沖品質佳且穩定,https://www.facebook.com/pg/artisantw/about/?tab=page_info
MiS Cafe 謎思咖啡,5.0 ★,5.0 ★,5.0 ★,5.0 ★,4.0 ★,5.0 ★,08:00 - 18:00,NO,高雄市前金區市中一路167號,NO,尚可,NO,Elisa,,https://www.facebook.com/MISCOFFEE/
暮色森林,5.0 ★,5.0 ★,4.0 ★,4.0 ★,5.0 ★,5.0 ★,13:00~24:00                     週一15:00~24:00,鹽埕埔/中央公園,高雄市前金區市中一路2-2號,NO,多,YES,tobeme,吉他人聚會每週五固定舉辦 烏克麗麗聚會每週六固定舉辦 其他每月不定期音樂電影等活動見FB官網,https://www.facebook.com/duskwood2015/
In-Lane內向咖啡,5.0 ★,5.0 ★,5.0 ★,5.0 ★,4.0 ★,5.0 ★,10:30 - 19:00,市議會,高雄市前金區市中一路268號,NO,多,NO,Elisa,咖啡很好喝，整個氣氛超棒很適合工作或看書,https://www.facebook.com/inlanecafe/
always a+,5.0 ★,3.0 ★,3.0 ★,4.0 ★,4.0 ★,4.0 ★,08:00 - 18:00,中央公園,高雄市前金區新田路217號,NO,尚可,NO,Elisa,,https://www.facebook.com/Always-A-%E5%92%96%E5%95%A1%E9%A4%A8-195980383748847/
The Original One -T O O,4.0 ★,5.0 ★,4.0 ★ ,3.5 ★ ,5.0 ★,ˋ.0 ★,09:00-19:00,,高雄市前鎮區瑞隆路138號,NO,,NO,Kyotsubasa,假日12點前較不建議去 因為早午餐cp值高人會非常多也很吵，但下午時段沒甚麼人,https://www.facebook.com/TOO138/?ref=page_internal
Lab Library,4.0 ★,3.5 ★,4.0 ★,3.5 ★,4.0 ★,4.0 ★,10:00-22:00,三多商圈/輕軌C8,高雄市前鎮區新光路61號3樓,NO,無,NO,Claudius,圖書館的書可任意拿入，假日人多,https://www.facebook.com/Lablibrarycafe/?fref=ts
Café De Lecture,4.5 ★,5.0 ★,5.0 ★,3.5 ★,4.0 ★,4.5 ★,10:00-22:00,獅甲/輕軌C7,高雄市前鎮區忠勤路8號,NO,,NO,Claudius,空間大座位多，附設於MLD Reading內,https://www.facebook.com/mldreading/?fref=ts
啡嚐挑剔 Choosy gourmet,5.0 ★,5.0 ★,3.0 ★ ,5.0 ★,5.0 ★,4.0 ★ ,"週一至週六 09:00-23:00
周日 09:00-18:00",,高雄市仁武區後港巷151之10號,NO,多,NO,Gina,,https://www.facebook.com/choosy.gourmet/
Gavagai Café(各比伊咖啡),5.0 ★,5.0 ★,5.0 ★,4.0 ★,5.0 ★,4.0 ★,12:00~24:00,NO,高雄市三民區敦煌路80巷11號,NO,,NO,Winnie,,https://zh-tw.facebook.com/GavagaiCafe/
Bikecoffee - 拜克咖啡        ,5.0 ★,5.0 ★,5.0 ★,5.0 ★,4.0 ★,4.0 ★,12:00-22:00,,高雄市三民區林森一路345巷13號,NO,尚可,NO,PedroChien,營業是否休息請參考粉絲團，手沖咖啡非常有特色。,https://www.facebook.com/Bikecoffee-%E6%8B%9C%E5%85%8B%E5%92%96%E5%95%A1-142406032633950/
612號月光海洋咖啡館        ,4.0 ★,4.0 ★,5.0 ★,4.0 ★,4.0 ★,4.0 ★ ,"11:00 - 22:00
週二公休",NO,高雄市三民區明賢街67號,NO,多,NO,Elisa,飲料好喝，早午餐份量超夠,https://www.facebook.com/612cafe/
移動咖啡 (進駐於高雄個共作空間),5.0 ★,5.0 ★,5.0 ★,5.0 ★,4.0 ★,5.0 ★,"二-五16:00-20:00
六日 14:00-21:00",,高雄市三民區熱河二街六巷16號,NO,多,yes,Lara yu,進駐於高雄知名的共同工作空間，喝咖啡工作之餘，會認識各行各業在工作室裡的工作者，想帶著刺青走也沒問題。,"https://www.facebook.com/mobile.coffe/
"
Reel_木軸咖啡館        ,5.0 ★,5.0 ★,5.0 ★,5.0 ★,4.0 ★,5.0 ★,09:30-20:00，週三公休,N/A,高雄市三民區天民路11號,NO,尚可,NO,Pseric,,https://www.facebook.com/Reelcoffeespace/
鐵塔咖啡 Tower Cafe,5.0 ★,4.0 ★,5.0 ★,5.0 ★,3.5 ★,5.0 ★,"平日: 06:30-14:30
假日: 0800-1600",,高雄市三民區同盟三路198號,NO,,,,,https://www.facebook.com/jtowercafe/
The Plus樂加廚房,5.0 ★,4.0 ★,3.5 ★ ,4.0 ★,4.0 ★,5.0 ★,06:30 - 21:00,信義國小,高雄市新興區錦田路11號,NO,有,NO,DoPee,採光極佳，空間舒適，插座需要額外付費(一次不限時20元),https://www.facebook.com/theplusfans/?ref=page_internal
季洋莊園咖啡隨行吧民族店,,,,,,,,文化中心/信義國小,高雄市新興區民族二路65-1號,,,,YanAnn,算是平價,https://www.facebook.com/pages/%E5%AD%A3%E6%B4%8B%E8%8E%8A%E5%9C%92%E5%92%96%E5%95%A1%E9%9A%A8%E8%A1%8C%E5%90%A7%E6%B0%91%E6%97%8F%E5%BA%97/192027707635318?ref=stream
三餘書店,,,,,,,,文化中心,高雄市新興區中正二路214號,,,,YanAnn,近大統百貨、Cafe strada，1F為獨立書店,https://www.facebook.com/pg/takaobooks214/about/?ref=page_internal
Cafe strada(步道咖啡館),5.0 ★,3.0 ★,4.0 ★,5.0 ★,4.0 ★,5.0 ★,,文化中心,高雄市新興區中正二路67號,NO,多,?,Jooe,,https://www.facebook.com/Caf%C3%A9-Strada-%E6%AD%A5%E9%81%93%E5%92%96%E5%95%A1-131409216946863/?fref=ts
興趣xsimtree,請去過的人評分,4.0 ★,2.0 ★,5.0 ★,4.0 ★,5.0 ★,07:30 - 22:30,信義國小,高雄市新興區中正三路73號,NO,尚可,YES,Winnie,,https://www.facebook.com/simtree.tw/
喝所在咖啡,,5.0 ★,5.0 ★,4.5 ★,4.0 ★,5.0 ★,11:00 - 19:00,鹽埕埔,高雄市鹽埕區安石街8號,,有,無,Lora,淺焙建議搭起司蛋糕很搭,https://www.facebook.com/hstcoffee/
NOW & THEN by nybc 駁二店,4.0 ★,4.0 ★,3.0 ★,4.0 ★,3.0 ★,5.0 ★,"平日:10:00-21:00
假日:10:00-22:00",西子灣/鹽埕埔,高雄市鹽埕區大義街2號駁二藝術特區大義倉庫C9-19,NO,多,NO,Jouan,平日適合，假日人多,https://www.facebook.com/nowandthenbynybc/
MARS睦工場風格餐廳,5.0 ★,4.0 ★,3.0 ★,,4.0 ★,4.0 ★,10:00-22:00,鹽埕埔,高雄市鹽埕區大勇路80號,NO,尚可,?,Gina,,https://www.facebook.com/MarsCube
Mazzii Coffee,5.0 ★,5.0 ★,5.0 ★,5.0 ★,4.0 ★,5.0 ★,13:00-21:00 (每週一公休),鹽埕埔,高雄市鹽埕區大勇路80號二樓,NO,尚可,NO,Jino,,https://www.facebook.com/MazziiCoffee
大城小事,4.0 ★,5.0 ★,5.0 ★,4.0 ★,3.5 ★ ,3.5 ★ ,"11:30 - 22:00 周二休(每個月的第一個禮拜一特休)
",鹽埕埔站2號出口步9分,高雄市鹽埕區河西路147號三角窗 (七賢橋旁),,,,,,https://www.facebook.com/bigtownsmallthings/
阿貴私塾,,,,,,,,鹽埕埔,高雄市鹽埕區新樂街39號,,,,YanAnn,近駁二,https://www.facebook.com/pages/%E9%98%BF%E8%B2%B4%E7%A7%81%E5%A1%BE/111915355552548
私心咖啡Favorite Café,5.0 ★,5.0 ★,5.0 ★,5.0 ★,4.0 ★,4.0 ★,10:00-19:00 (週三公休),NO,高雄市左營區翠華路584號(果貿社區),NO,少,NO,Eddie,老闆、老闆娘對咖啡的品質很堅持，有很多創意咖啡，像蕃石榴、蕃茄蜜、葡萄柚咖啡等等。手沖咖啡更是一絕，通常一支豆子能喝到兩種不同感覺。PS.如果去的時候有「酒鬼提拉米蘇」的話一定要點！,https://www.facebook.com/cafefavorite/
卡啡那 CAFFAINA 明誠店,5.0 ★,3.0 ★,3.0 ★,5.0 ★,4.0 ★,5.0 ★,09:00-24:00,,高雄市左營區明誠二路243號,NO,多,,Jino,,http://www.caffaina.com/
Uns Coffee（昂司咖啡）高雄明誠店,4.0 ★,4.0 ★,2.5 ★,3.0 ★,5.0 ★,4.0 ★,08:00-22:00,凹子底站3號出口走8分鐘,高雄市左營區明誠二路539號,NO,偏少,NO,"Ducky
Jonathan","非常平價，去的年齡層也廣。
採光良好，座椅也舒適，座位算多，一樓還有賣咖啡豆跟騎樓座位。",https://www.facebook.com/unscoffee/
馤 咖啡。食作,請去過的人評分,5.0 ★,5.0 ★,5.0 ★,4.0 ★,5.0 ★,"10:00 - 20:00
",左營,高雄市左營區文府路159巷18號,NO,,NO,"Winnie
Jonathan",店內很有書香氣，就在左營新光三越對面,https://www.facebook.com/hay.cafeteria/
Angoli Brunch早午餐,,,,,,,,巨蛋,高雄市左營區新莊一路242號(武廟路地址為舊地址，該店已搬離),,,,YanAnn,不確定能不能算是咖啡店，位子很少，強烈建議預約定位，提供女性向精緻輕食。,https://www.facebook.com/angoli.tw/
Louisa Coffee 路易．莎咖啡(高雄裕誠店),請去過的人評分,5.0 ★,4.0 ★,請去過的人評分,4.0 ★,5.0 ★,07:30-22:00                    周五六07:30-24:00,巨蛋,高雄市左營區裕誠路366號,NO,少,NO,Jonathan,東西不錯吃，選擇很多也算平價，目前去都蠻安靜的，客人也不是很多。,https://www.facebook.com/%E8%B7%AF%E6%98%93%E8%8E%8E%E5%92%96%E5%95%A1-Louisa-Coffee-%E9%AB%98%E9%9B%84%E8%A3%95%E8%AA%A0%E5%BA%97-1819695671592819/
PiNNCafe 品．咖啡,請去過的人評分,,,,,,,,,,,,,,
灰咖啡,,,,,4.0 ★,5.0 ★,,美麗島,,NO,有,,,,