店名,wifi 穩定,通常有空位,安靜程度,咖啡好喝,價格便宜,裝潢/音樂佳,營業時間,地址,有無限時,插座多,可站立工作,方便停汽機車,推薦人,備註,網站
午營咖啡 a break cafe,4.0 ★,5.0 ★,5.0 ★,4.0 ★,3.5 ★,5.0 ★,三-日 13:00 - 22:00,台南市東區崇德四街七巷21號,無,5.0 ★,高腳工作桌附吧台椅,,Harry Lin,"1.每個座位都有插座
2.有單人桌也有六人大桌，獨立工作＆分組討論都合適
3.書＆雜誌種類多、更新快
4.氣氛舒適、店員親切
5.另有三樓獨立會議空間可供出租",https://www.facebook.com/abreakcafe/
奇美咖啡館,,,,,,,08:00 - 20:00,台南市東區大學路1號,,,,,YanAnn,近成大,https://www.facebook.com/cafechimei/
MASA LOFT,5.0 ★,5.0 ★,5.0 ★,,5.0 ★ ,5.0 ★ ,"一-五  09:30–21:30
六日   09:30–18:00",台南市東區大學路西段53號,無,3.0 ★,,,,,
Lure Late Late Breakfast 鹿耳晚晚早餐,5.0 ★,4.5 ★,5.0 ★,5.0 ★,5.0 ★ ,5.0 ★,0800-1600,台南市東區林森路一段153巷19號,無,5.0 ★,附靠窗吧台椅,,A Bao Huang,"1.氣氛佳、音樂舒服適合寫作發呆的場所
2.獨立的自由空間，店家不會來打擾你
3.不定時的展覽與活動
4.店員親切
5.白色淨白樣式、大落地窗風格
6.有小品雜誌可供挑選閱讀",https://www.facebook.com/lurelatelatebreakfast/
A ROOM,,,,,,,10:00–23:00 周二休,台南市東區長榮路一段234巷17號,,,,,,,https://www.facebook.com/pages/A-room/411198695659455
金礦咖啡-台南中華門市,5.0 ★,4.0 ★ ,3.5 ★,,5.0 ★,5.0 ★,07:00 - 24:00,台南市永康區中華路617號,無,3.5 ★,有吧檯椅,,,"1.大多數的金礦都有大片落地窗光線良好
2.有沙發、單人木椅、高腳吧檯椅多種選擇
3.價位蠻便宜的
4.全年無休從一大早開到半夜不受時間控制
5.店員很親切但不會打擾，多去幾次都會記住客人的習慣喜好",https://www.facebook.com/pg/b030783/about/?tab=page_info
POP PIE,,5.0 ★,5.0 ★,5.0 ★,3.5 ★,5.0 ★,09:30 - 17:00,台南市中西區開山路35巷1弄6號,無,,無,,Ash Chang,"隱身在小巷弄內的老屋改裝，裝潢有特色，感覺很自在，
鹹派超好吃，可惜太早關",https://www.facebook.com/lovepartytime
ROOM A,5.0 ★,4.5 ★,4.5 ★,4.5 ★,4.5 ★,4.5 ★,10:00 - 22:30 周二休,台南市中西區康樂街21號,有,5.0 ★,,,,,https://www.facebook.com/on.RoomA/
甘單咖啡,,3.0 ★,4.0 ★,4.0 ★,4.5 ★,4.0 ★,13:00–21:30,台南市中西區民權路二段4巷13號,無,,無,,,,
藏風藝文咖啡,5.0 ★,5.0 ★,5.0 ★,3.5 ★,4.0 ★,4.0 ★,"二-四 12:00 - 20:00
五六 12:00 - 21:00
日    12:00 - 18:00",台南市中西區衛民街67號-1,無,4.0 ★,戶外,,Arther Lai,"7.1環繞音響,有戶外花園 , 不遇到開會是個靜謐的地方,可跟工作人員拿延長",https://www.facebook.com/TsangFongCoffee/
熨斗目花 wudaocafe,,,,,,,0900~2000,台南市中西區新美街90號,,,,,P.P. Lee,,https://www.facebook.com/wudaocafe/
中山路99｜Novantanove,4.5 ★,4.5 ★,5.0 ★,5.0 ★,3.5 ★,5.0 ★,"一~五 12:00 - 19:00
六~日 12:00 - 22:00",台南市中西區中山路99號,無,5.0 ★,無,,Sabina Yeh,"1.甜點非常非常好吃且道地
2.空間寬敞
3.不定其舉辦展覽與活動
4.隨性的風格但服務不差
5.廚師現做甜點
6.店內裝潢美美
7.離火車站近 附近有商圈可逛
8.平日適合工作",https://www.facebook.com/99novantanove/?fref=ts
曉咖啡,3.5 ★,5.0 ★,4.5 ★,5.0 ★,4.0 ★,4.0 ★,20:00 - 02:00         周日一休, 台南市中西區永福路二段142-1號,無,5.0 ★,無,附近銀行前可停機車,,深夜時段的好選擇，幾乎全部座全都有提供插座。,https://www.facebook.com/akatsukicoffee/